"NSFTV.ID","Rep","DayOfImaging","Exp","PSA"
"NSFTV_112","1","8","E3",105434
"NSFTV_112","1","9","E3",122488
"NSFTV_112","2","0","E3",NA
"NSFTV_112","2","2","E3",NA
"NSFTV_112","2","3","E3",NA
"NSFTV_112","2","5","E3",NA
"NSFTV_112","2","6","E3",NA
"NSFTV_112","2","7","E3",NA
"NSFTV_112","2","8","E3",NA
"NSFTV_112","2","9","E3",NA
"NSFTV_113","1","0","E1",26303
"NSFTV_113","1","2","E1",46190
"NSFTV_113","1","3","E1",48890
"NSFTV_113","1","5","E1",70095
"NSFTV_113","1","6","E1",89294
"NSFTV_113","1","7","E1",103925
"NSFTV_113","1","8","E1",122324
"NSFTV_113","1","9","E1",142685
"NSFTV_113","2","0","E1",NA
"NSFTV_113","2","2","E1",NA
"NSFTV_113","2","3","E1",NA
"NSFTV_113","2","5","E1",NA
"NSFTV_113","2","6","E1",NA
"NSFTV_113","2","7","E1",NA
"NSFTV_113","2","8","E1",NA
"NSFTV_113","2","9","E1",NA
"NSFTV_113","1","0","E2",44775
"NSFTV_113","1","2","E2",67140
"NSFTV_113","1","3","E2",76191
"NSFTV_113","1","5","E2",104953
"NSFTV_113","1","6","E2",115167
"NSFTV_113","1","7","E2",123074
"NSFTV_113","1","8","E2",139282
"NSFTV_113","1","9","E2",161813
"NSFTV_113","2","0","E2",NA
"NSFTV_113","2","2","E2",NA
"NSFTV_113","2","3","E2",NA
"NSFTV_113","2","5","E2",NA
"NSFTV_113","2","6","E2",NA
"NSFTV_113","2","7","E2",NA
"NSFTV_113","2","8","E2",NA
"NSFTV_113","2","9","E2",NA
"NSFTV_113","1","0","E3",40935
"NSFTV_113","1","2","E3",58147
"NSFTV_113","1","3","E3",66492
"NSFTV_113","1","5","E3",78423
"NSFTV_113","1","6","E3",90031
"NSFTV_113","1","7","E3",101251
"NSFTV_113","1","8","E3",113562
"NSFTV_113","1","9","E3",115739
"NSFTV_113","2","0","E3",NA
"NSFTV_113","2","2","E3",NA
"NSFTV_113","2","3","E3",NA
"NSFTV_113","2","5","E3",NA
"NSFTV_113","2","6","E3",NA
"NSFTV_113","2","7","E3",NA
"NSFTV_113","2","8","E3",NA
"NSFTV_113","2","9","E3",NA
"NSFTV_114","1","0","E1",36124
"NSFTV_114","1","2","E1",59344
"NSFTV_114","1","3","E1",70023
"NSFTV_114","1","5","E1",94160
"NSFTV_114","1","6","E1",118051
"NSFTV_114","1","7","E1",144087
"NSFTV_114","1","8","E1",163370
"NSFTV_114","1","9","E1",193000
"NSFTV_114","2","0","E1",NA
"NSFTV_114","2","2","E1",NA
"NSFTV_114","2","3","E1",NA
"NSFTV_114","2","5","E1",NA
"NSFTV_114","2","6","E1",NA
"NSFTV_114","2","7","E1",NA
"NSFTV_114","2","8","E1",NA
"NSFTV_114","2","9","E1",NA
"NSFTV_114","1","0","E2",61414
"NSFTV_114","1","2","E2",84297
"NSFTV_114","1","3","E2",96133
"NSFTV_114","1","5","E2",137661
"NSFTV_114","1","6","E2",156901
"NSFTV_114","1","7","E2",173652
"NSFTV_114","1","8","E2",205988
"NSFTV_114","1","9","E2",235170
"NSFTV_114","2","0","E2",NA
"NSFTV_114","2","2","E2",NA
"NSFTV_114","2","3","E2",NA
"NSFTV_114","2","5","E2",NA
"NSFTV_114","2","6","E2",NA
"NSFTV_114","2","7","E2",NA
"NSFTV_114","2","8","E2",NA
"NSFTV_114","2","9","E2",NA
"NSFTV_114","1","0","E3",33883
"NSFTV_114","1","2","E3",49091
"NSFTV_114","1","3","E3",56529
"NSFTV_114","1","5","E3",62831
"NSFTV_114","1","6","E3",74183
"NSFTV_114","1","7","E3",88506
"NSFTV_114","1","8","E3",105831
"NSFTV_114","1","9","E3",112511
"NSFTV_114","2","0","E3",43628
"NSFTV_114","2","2","E3",63912
"NSFTV_114","2","3","E3",72969
"NSFTV_114","2","5","E3",103244
"NSFTV_114","2","6","E3",117668
"NSFTV_114","2","7","E3",142020
"NSFTV_114","2","8","E3",151223
"NSFTV_114","2","9","E3",159194
"NSFTV_115","1","0","E1",28166
"NSFTV_115","1","2","E1",36945
"NSFTV_115","1","3","E1",41616
"NSFTV_115","1","5","E1",60363
"NSFTV_115","1","6","E1",76884
"NSFTV_115","1","7","E1",93224
"NSFTV_115","1","8","E1",117611
"NSFTV_115","1","9","E1",135104
