"NSFTV.ID","PSA_8_2013","PSA_9_2013","PSA_11_2013","PSA_12_2013","PSA_14_2013","PSA_15_2013","PSA_16_2013","PSA_17_2013","PSA_18_2013","PSA_19_2013","PSA_20_2013","PSA_21_2013","PSA_22_2013","PSA_23_2013","PSA_24_2013","PSA_25_2013","PSA_26_2013","PSA_27_2013"
"NSFTV_185",3372.673321,4489.736139,6555.483804,7526.845556,11640.92476,13631.02888,15620.63848,18714.00716,22930.58582,30227.6708,35978.08516,42755.13989,54452.34435,66548.01772,77736.38142,97415.07192,114533.9457,134394.4766
"NSFTV_186",2454.673321,2957.736139,4510.483804,5185.345556,7614.591425,9665.19555,10835.30515,13219.00716,16016.58582,18532.6708,23579.25182,28949.47323,35736.84435,43805.35105,51749.21475,63177.57192,73998.77908,87225.3099
"NSFTV_187",2444.006654,3291.569472,4254.650471,4794.17889,7219.091425,8686.69555,9263.638484,10536.84049,13059.58582,16658.1708,20278.25182,23693.30656,30539.01102,37065.51772,44415.54809,51022.23859,59079.11241,72080.14323
"NSFTV_188",3077.673321,3910.569472,6125.817138,6916.67889,11116.59142,13770.86222,15988.30515,18069.00716,22483.08582,28506.83747,34680.91849,41267.97323,54758.67768,69278.68439,77905.04809,93829.73859,114024.9457,134901.6432
"NSFTV_189",4115.673321,5104.402805,7030.483804,8874.17889,13626.25809,16731.19555,21489.30515,24529.00716,29149.91915,35996.33747,43833.75182,53390.13989,64990.84435,80575.35105,94928.04809,118193.7386,137783.9457,162078.8099
"NSFTV_19",4840.923321,6169.569472,10042.81714,11917.42889,17122.25809,20533.44555,24380.05515,28958.84049,34208.50248,41348.1708,51829.25182,62186.88989,74414.84435,88969.10105,105438.8814,122093.8219,137228.4457,161596.0599
"NSFTV_190",2269.423321,2883.819472,4555.483804,5175.17889,7738.008091,10088.44555,11877.05515,12935.92382,14918.41915,19072.33747,24448.08516,30722.05656,36470.59435,45314.26772,54989.63142,65643.57192,76969.02908,89823.72656
"NSFTV_191",3862.006654,4610.652805,7193.900471,9413.595556,13025.34142,16510.69555,21285.30515,25128.34049,29327.41915,35602.83747,45365.08516,56677.63989,68693.92768,84267.35105,99429.96475,117324.5719,137334.6124,163368.8932
"NSFTV_192",2748.173321,3545.069472,5588.483804,6747.512223,10194.09142,12340.19555,15643.63848,19556.50716,23291.91915,27973.1708,36417.25182,44951.13989,56329.67768,68715.18439,80281.88142,99091.40526,111699.6124,128535.6432
"NSFTV_193",3560.673321,4467.402805,6644.150471,7300.345556,11681.75809,14013.86222,15419.63848,18269.50716,22774.75248,27732.50413,34210.91849,42133.13989,52814.84435,66745.51772,77262.04809,96303.73859,113248.7791,132338.6432
"NSFTV_194",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NSFTV_195",3379.006654,4546.569472,7003.317138,9098.17889,13804.75809,17350.36222,20128.13848,25127.17382,30577.75248,35247.33747,44362.75182,55687.13989,70496.17768,84071.68439,101495.3814,121765.9053,142882.1124,166481.8099
"NSFTV_196",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NSFTV_197",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NSFTV_198",2489.173321,3215.819472,4860.650471,6040.67889,8827.758091,10849.86222,13667.72182,16611.17382,19155.75248,23994.25413,30943.58516,38666.97323,47498.59435,58357.35105,69717.71475,82816.98859,95213.36241,111063.8099
"NSFTV_199",3685.673321,4802.069472,8158.817138,9600.012223,15522.75809,19120.86222,23117.30515,28033.34049,34684.58582,42256.83747,50342.08516,64699.47323,84698.67768,99997.01772,117461.3814,143841.0719,167886.7791,198577.3099
"NSFTV_20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NSFTV_200",4702.256654,6021.652805,8877.400471,11423.26222,16267.84142,20790.61222,25541.30515,29290.42382,35467.00248,42507.9208,53475.16849,66895.97323,82098.26102,100206.9344,118184.9648,142505.1553,163743.5291,192057.9766
"NSFTV_201",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NSFTV_202",3444.839987,4421.402805,7008.817138,8118.012223,13798.92476,16688.02888,20072.47182,23089.50716,28856.25248,36478.00413,43448.75182,53619.97323,66788.01102,80952.68439,96811.38142,111020.9053,129890.7791,154727.8099
"NSFTV_203",3646.089987,4713.819472,6361.650471,7947.42889,13022.84142,16113.94555,21347.47182,25618.17382,30792.08582,36936.83747,46884.58516,59987.13989,75007.51102,92322.93439,105846.2148,127643.7386,146190.1124,169782.2266
"NSFTV_204",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NSFTV_205",3341.673321,4138.902805,5528.650471,6261.095556,10070.09142,12223.11222,13714.80515,16976.67382,20446.00248,24832.00413,31746.16849,39165.55656,48968.84435,58597.68439,69439.79809,84964.40526,99554.11241,116587.4766
"NSFTV_206",4734.839987,5621.402805,8222.317138,10167.51222,14256.42476,17747.86222,20925.63848,24419.00716,29828.41915,36668.1708,43512.75182,52839.97323,65799.17768,77997.68439,89075.88142,104873.5719,120444.2791,140248.9766
"NSFTV_207",3788.423321,5090.402805,7814.650471,9871.345556,14547.75809,17676.02888,20770.88848,24386.92382,29873.58582,37453.6708,45290.91849,56637.13989,70548.42768,83796.51772,99167.21475,119263.8219,140611.8624,167744.2266
"NSFTV_208",3030.506654,3814.402805,5916.650471,7557.345556,11734.75809,15114.02888,19294.13848,23652.34049,27691.25248,35101.83747,44121.08516,55266.97323,66051.01102,83313.85105,98410.54809,123234.5719,141082.7791,166095.1432
"NSFTV_209",3707.839987,4551.736139,8004.983804,9383.512223,15035.59142,18192.52888,22706.47182,27006.84049,33737.08582,42384.00413,53476.75182,64619.47323,80788.34435,100452.0177,118901.7148,142482.4053,167297.6124,196282.8099
