"NSFTV.ID","PSA_19_2014","PSA_21_2014","PSA_22_2014","PSA_25_2014","PSA_26_2014","PSA_27_2014","PSA_28_2014","PSA_29_2014","PSA_30_2014","PSA_31_2014","PSA_32_2014","PSA_33_2014","PSA_34_2014","PSA_35_2014","PSA_36_2014","PSA_37_2014","PSA_38_2014","PSA_39_2014","PSA_40_2014","PSA_41_2014"
"NSFTV_15",31821.70394,43106.06169,48986.59646,66376.24595,76776.41862,85417.6276,100215.3615,113229.4557,130483.8449,160159.0303,165432.6067,189806.5359,211084.8544,236954.7601,259582.3642,286986.9536,314702.3285,340903.4273,364950.4644,350397.4744
"NSFTV_150",30322.71878,39083.10965,46714.56778,61792.6302,69257.43977,78864.47929,88838.05135,101631.3291,115621.7118,132851.2582,143839.5146,164129.5081,181074.3989,203487.0479,226492.9555,257176.5218,277605.3804,309360.0118,323138.7295,360820.3249
"NSFTV_151",25683.53728,37451.72836,42967.26313,56678.24595,64759.75195,72513.79426,82389.45062,93631.12234,104917.5116,118550.9806,130318.9401,145354.5359,163189.0211,183624.4268,206471.5308,234197.9536,263126.9951,289223.094,317623.1311,346301.1372
"NSFTV_152",41551.71878,58953.85965,68025.31778,91212.5052,102236.4398,118011.9793,137077.5513,159745.2041,179093.5868,199064.8839,224240.2646,251077.7581,277964.3989,310735.5479,351148.9555,392495.3968,439743.1304,476683.5118,523123.6045,569183.8249
"NSFTV_153",35672.70394,52542.39503,61941.59646,84469.07928,99384.08528,116720.4609,132707.5282,152578.1223,170926.8449,184684.7803,210302.2919,239895.0359,266167.6877,292101.2601,326995.8642,365982.7869,398907.9951,438303.9273,482369.4644,510906.8039
"NSFTV_154",55984.09378,78987.48465,94673.19278,121512.6302,137804.5648,157932.6043,177117.1763,198579.5791,226115.9618,261816.7582,289449.3896,326568.0081,354766.1489,392000.2979,435384.9555,479549.3968,481648.8804,511007.5118,517962.6045,547233.4499
"NSFTV_155",41400.84378,57825.98465,65657.81778,90823.8802,104334.0648,118077.1043,136331.1763,153543.3291,173691.9618,186400.8839,220404.1396,250508.3831,278928.6489,313120.1729,347049.8305,389585.2718,423656.1304,459338.1368,503145.1045,545561.5749
"NSFTV_156",49695.20394,70794.06169,84277.92979,110591.9126,128371.9186,154175.6276,175482.3615,199618.6223,220439.0116,254675.6473,283095.2734,312546.5359,343476.0211,374155.0934,417150.6975,468335.2869,509698.1618,556437.7606,582068.1311,609321.4705
"NSFTV_157",20493.53728,28100.22836,32368.59646,43661.57928,49870.08528,57021.1276,68445.86151,77685.62234,91959.67828,77231.53027,115001.9401,130297.3692,148034.5211,169421.2601,187633.3642,213004.6203,235357.9951,260264.4273,290640.4644,318395.8039
"NSFTV_158",23241.87061,32374.06169,38322.26313,52052.24595,63573.25195,72699.96093,85775.19484,99497.62234,114645.3449,137498.7803,149919.7734,172241.2025,192717.1877,220001.7601,251264.3642,281019.7869,318203.6618,348087.4273,372571.7978,391654.9744
"NSFTV_159",57165.37061,83243.39503,99502.59646,137076.5793,159966.4186,190060.6276,219056.0282,256282.9557,291150.8449,336201.7803,367937.2734,403676.3692,446237.1877,490340.2601,541528.5308,608317.2869,660366.3285,702370.2606,745583.1311,785817.8039
